Year,Вік,Стать,Домогосподарства,Місцевість проживання,Value
2015,,,,,58.3
2016,,,,,58.6
2017,,,,,47.3
2018,,,,,43.2
2019,,,,,41.3
2020,,,,,47.2
2021,,,,,39.1
2022,,,,,
2023,,,,,
2024,,,,,
2015,до 18 років,,,,66.6
2016,до 18 років,,,,65.5
2017,до 18 років,,,,56.7
2018,до 18 років,,,,51.1
2019,до 18 років,,,,47.8
2020,до 18 років,,,,53.0
2021,до 18 років,,,,43.5
2022,до 18 років,,,,
2023,до 18 років,,,,
2024,до 18 років,,,,
2015,18 – 34 роки,,,,59.4
2016,18 – 34 роки,,,,57.9
2017,18 – 34 роки,,,,47.4
2018,18 – 34 роки,,,,44.3
2019,18 – 34 роки,,,,40.1
2020,18 – 34 роки,,,,44.7
2021,18 – 34 роки,,,,36.9
2022,18 – 34 роки,,,,
2023,18 – 34 роки,,,,
2024,18 – 34 роки,,,,
2015,35 – 59 років,,,,53.9
2016,35 – 59 років,,,,55.2
2017,35 – 59 років,,,,42.0
2018,35 – 59 років,,,,38.1
2019,35 – 59 років,,,,36.6
2020,35 – 59 років,,,,43.8
2021,35 – 59 років,,,,35.1
2022,35 – 59 років,,,,
2023,35 – 59 років,,,,
2024,35 – 59 років,,,,
2015,60 років і старші,,,,57.0
2016,60 років і старші,,,,58.9
2017,60 років і старші,,,,47.6
2018,60 років і старші,,,,43.5
2019,60 років і старші,,,,44.4
2020,60 років і старші,,,,50.6
2021,60 років і старші,,,,44.1
2022,60 років і старші,,,,
2023,60 років і старші,,,,
2024,60 років і старші,,,,
2015,,Жіноча,,,58.6
2016,,Жіноча,,,58.6
2017,,Жіноча,,,47.3
2018,,Жіноча,,,43.9
2019,,Жіноча,,,41.0
2020,,Жіноча,,,48.0
2021,,Жіноча,,,40.4
2022,,Жіноча,,,
2023,,Жіноча,,,
2024,,Жіноча,,,
2015,,Чоловіча,,,58.0
2016,,Чоловіча,,,58.5
2017,,Чоловіча,,,47.3
2018,,Чоловіча,,,42.4
2019,,Чоловіча,,,41.5
2020,,Чоловіча,,,46.2
2021,,Чоловіча,,,37.6
2022,,Чоловіча,,,
2023,,Чоловіча,,,
2024,,Чоловіча,,,
2015,,,Домогосподарства з дітьми,,66.5
2016,,,Домогосподарства з дітьми,,65.2
2017,,,Домогосподарства з дітьми,,55.1
2018,,,Домогосподарства з дітьми,,49.9
2019,,,Домогосподарства з дітьми,,47.3
2020,,,Домогосподарства з дітьми,,53.6
2021,,,Домогосподарства з дітьми,,43.2
2022,,,Домогосподарства з дітьми,,
2023,,,Домогосподарства з дітьми,,
2024,,,Домогосподарства з дітьми,,
2015,,,Домогосподарства без дітей,,48.8
2016,,,Домогосподарства без дітей,,50.9
2017,,,Домогосподарства без дітей,,38.1
2018,,,Домогосподарства без дітей,,35.4
2019,,,Домогосподарства без дітей,,34.3
2020,,,Домогосподарства без дітей,,39.7
2021,,,Домогосподарства без дітей,,34.4
2022,,,Домогосподарства без дітей,,
2023,,,Домогосподарства без дітей,,
2024,,,Домогосподарства без дітей,,
2015,,,,міська,55.6
2016,,,,міська,55.8
2017,,,,міська,43.6
2018,,,,міська,38.7
2019,,,,міська,36.8
2020,,,,міська,43.0
2021,,,,міська,34.1
2022,,,,міська,
2023,,,,міська,
2024,,,,міська,
2015,,,,сільська,63.6
2016,,,,сільська,64.0
2017,,,,сільська,54.4
2018,,,,сільська,52.0
2019,,,,сільська,50.1
2020,,,,сільська,55.5
2021,,,,сільська,49.0
2022,,,,сільська,
2023,,,,сільська,
2024,,,,сільська,
