Year,Показники споживання енергії домогосподарствами,Value
2015,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",32.6
2016,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",34.1
2017,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",33.0
2018,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",31.5
2019,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",28.2
2020,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",28.5
2021,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",
2022,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",
2023,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",
2024,"частка споживання енергії побутовим сектором у загальному кінцевому споживанні енергії, відсотків",
2015,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",198.0
2016,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",209.0
2017,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",195.0
2018,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",190.0
2019,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",161.0
2020,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",156.0
2021,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",
2022,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",
2023,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",
2024,"питоме споживання енергії житловими будівлями, кіловат-годин на кв. метр",
