Year,Sex,Type of residence,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,
2024,,,
2015,women,,
2016,women,,
2017,women,,
2018,women,,
2019,women,,
2020,women,,
2021,women,,
2022,women,,
2023,women,,
2024,women,,
2015,men,,
2016,men,,
2017,men,,
2018,men,,
2019,men,,
2020,men,,
2021,men,,
2022,men,,
2023,men,,
2024,men,,
2015,,urban,
2016,,urban,
2017,,urban,
2018,,urban,
2019,,urban,
2020,,urban,
2021,,urban,
2022,,urban,
2023,,urban,
2024,,urban,
2015,,rural,
2016,,rural,
2017,,rural,
2018,,rural,
2019,,rural,
2020,,rural,
2021,,rural,
2022,,rural,
2023,,rural,
2024,,rural,
