Year,Age,Sex,Value
2015,,,9.2
2016,,,9.0
2017,,,8.7
2018,,,8.6
2019,,,8.0
2020,,,8.2
2021,,,8.5
2022,,,
2023,,,
2015,15-24 years,,55.9
2016,15-24 years,,56.5
2017,15-24 years,,57.6
2018,15-24 years,,59.4
2019,15-24 years,,55.5
2020,15-24 years,,60.0
2021,15-24 years,,62.1
2022,15-24 years,,
2023,15-24 years,,
2015,25-64 years,,0.8
2016,25-64 years,,0.9
2017,25-64 years,,0.8
2018,25-64 years,,0.8
2019,25-64 years,,0.7
2020,25-64 years,,0.5
2021,25-64 years,,0.5
2022,25-64 years,,
2023,25-64 years,,
2015,,women,8.8
2016,,women,8.4
2017,,women,8.1
2018,,women,8.0
2019,,women,7.5
2020,,women,7.6
2021,,women,7.7
2022,,women,
2023,,women,
2015,,men,9.8
2016,,men,9.6
2017,,men,9.3
2018,,men,9.4
2019,,men,8.7
2020,,men,8.9
2021,,men,9.4
2022,,men,
2023,,men,
