Year,Еconomic activity,Value
2015,,99.2
2016,,103.5
2017,,103.1
2018,,102.2
2019,,101.8
2020,,100.3
2021,,105.5
2022,,
2023,,
2024,,
2015,"agriculture, forestry and fisheries",103.0
2016,"agriculture, forestry and fisheries",106.5
2017,"agriculture, forestry and fisheries",97.7
2018,"agriculture, forestry and fisheries",105.3
2019,"agriculture, forestry and fisheries",98.6
2020,"agriculture, forestry and fisheries",98.8
2021,"agriculture, forestry and fisheries",116.3
2022,"agriculture, forestry and fisheries",
2023,"agriculture, forestry and fisheries",
2024,"agriculture, forestry and fisheries",
2015,Industry,96.2
2016,Industry,104.6
2017,Industry,100.7
2018,Industry,102.8
2019,Industry,97.9
2020,Industry,100.0
2021,Industry,103.4
2022,Industry,
2023,Industry,
2024,Industry,
2015,Construction,94.9
2016,Construction,114.6
2017,Construction,125.7
2018,Construction,105.0
2019,Construction,117.9
2020,Construction,110.4
2021,Construction,102.7
2022,Construction,
2023,Construction,
2024,Construction,
2015,wholesale and retail trade; repair of motor vehicles and motorcycles,95.4
2016,wholesale and retail trade; repair of motor vehicles and motorcycles,104.1
2017,wholesale and retail trade; repair of motor vehicles and motorcycles,102.1
2018,wholesale and retail trade; repair of motor vehicles and motorcycles,101.0
2019,wholesale and retail trade; repair of motor vehicles and motorcycles,99.5
2020,wholesale and retail trade; repair of motor vehicles and motorcycles,109.5
2021,wholesale and retail trade; repair of motor vehicles and motorcycles,101.1
2022,wholesale and retail trade; repair of motor vehicles and motorcycles,
2023,wholesale and retail trade; repair of motor vehicles and motorcycles,
2024,wholesale and retail trade; repair of motor vehicles and motorcycles,
2015,Transportation and storage; postal and courier activities,108.8
2016,Transportation and storage; postal and courier activities,103.2
2017,Transportation and storage; postal and courier activities,104.6
2018,Transportation and storage; postal and courier activities,100.9
2019,Transportation and storage; postal and courier activities,103.5
2020,Transportation and storage; postal and courier activities,86.0
2021,Transportation and storage; postal and courier activities,103.2
2022,Transportation and storage; postal and courier activities,
2023,Transportation and storage; postal and courier activities,
2024,Transportation and storage; postal and courier activities,
2015,temporary accommodation and catering,113.9
2016,temporary accommodation and catering,105.8
2017,temporary accommodation and catering,104.4
2018,temporary accommodation and catering,104.6
2019,temporary accommodation and catering,102.1
2020,temporary accommodation and catering,85.6
2021,temporary accommodation and catering,146.2
2022,temporary accommodation and catering,
2023,temporary accommodation and catering,
2024,temporary accommodation and catering,
2015,information and telecommunications,104.0
2016,information and telecommunications,105.6
2017,information and telecommunications,108.8
2018,information and telecommunications,104.0
2019,information and telecommunications,103.5
2020,information and telecommunications,104.8
2021,information and telecommunications,113.0
2022,information and telecommunications,
2023,information and telecommunications,
2024,information and telecommunications,
2015,financial and insurance activities,92.9
2016,financial and insurance activities,97.8
2017,financial and insurance activities,126.9
2018,financial and insurance activities,109.6
2019,financial and insurance activities,106.7
2020,financial and insurance activities,101.7
2021,financial and insurance activities,112.9
2022,financial and insurance activities,
2023,financial and insurance activities,
2024,financial and insurance activities,
2015,real estate transactions,110.3
2016,real estate transactions,107.3
2017,real estate transactions,103.2
2018,real estate transactions,105.8
2019,real estate transactions,106.8
2020,real estate transactions,104.9
2021,real estate transactions,101.4
2022,real estate transactions,
2023,real estate transactions,
2024,real estate transactions,
2015,"professional, scientific and technical activities",94.0
2016,"professional, scientific and technical activities",103.7
2017,"professional, scientific and technical activities",108.9
2018,"professional, scientific and technical activities",100.6
2019,"professional, scientific and technical activities",107.5
2020,"professional, scientific and technical activities",88.2
2021,"professional, scientific and technical activities",104.0
2022,"professional, scientific and technical activities",
2023,"professional, scientific and technical activities",
2024,"professional, scientific and technical activities",
2015,administrative and support service activities,109.1
2016,administrative and support service activities,106.6
2017,administrative and support service activities,102.8
2018,administrative and support service activities,102.1
2019,administrative and support service activities,102.1
2020,administrative and support service activities,91.6
2021,administrative and support service activities,98.9
2022,administrative and support service activities,
2023,administrative and support service activities,
2024,administrative and support service activities,
2015,Public administration and defence; compulsory social security,101.0
2016,Public administration and defence; compulsory social security,101.1
2017,Public administration and defence; compulsory social security,93.8
2018,Public administration and defence; compulsory social security,103.6
2019,Public administration and defence; compulsory social security,117.4
2020,Public administration and defence; compulsory social security,97.9
2021,Public administration and defence; compulsory social security,100.6
2022,Public administration and defence; compulsory social security,
2023,Public administration and defence; compulsory social security,
2024,Public administration and defence; compulsory social security,
2015,education,102.8
2016,education,99.2
2017,education,102.4
2018,education,100.4
2019,education,103.4
2020,education,94.9
2021,education,112.8
2022,education,
2023,education,
2024,education,
2015,Human health and social work activities,109.8
2016,Human health and social work activities,97.9
2017,Human health and social work activities,101.5
2018,Human health and social work activities,97.7
2019,Human health and social work activities,106.9
2020,Human health and social work activities,106.7
2021,Human health and social work activities,106.5
2022,Human health and social work activities,
2023,Human health and social work activities,
2024,Human health and social work activities,
2015,"arts, sports, entertainment and recreation",92.6
2016,"arts, sports, entertainment and recreation",101.4
2017,"arts, sports, entertainment and recreation",101.6
2018,"arts, sports, entertainment and recreation",103.5
2019,"arts, sports, entertainment and recreation",104.2
2020,"arts, sports, entertainment and recreation",91.2
2021,"arts, sports, entertainment and recreation",118.4
2022,"arts, sports, entertainment and recreation",
2023,"arts, sports, entertainment and recreation",
2024,"arts, sports, entertainment and recreation",
2015,provision of other services,110.3
2016,provision of other services,102.9
2017,provision of other services,106.0
2018,provision of other services,103.1
2019,provision of other services,108.6
2020,provision of other services,82.2
2021,provision of other services,107.3
2022,provision of other services,
2023,provision of other services,
2024,provision of other services,
